DISTRICT,DISTNAME,DPNT504C,DPNT504P,DPNTALLC,DPNTASIC,DPNTASIP,DPNTBLAC,DPNTBLAP,DPNTDSLC,DPNTDSLP,DPNTECOC,DPNTECOP,DPNTFEMC,DPNTFEMP,DPNTFOSC,DPNTFOSP,DPNTHISC,DPNTHISP,DPNTHOMC,DPNTHOMP,DPNTIMMC,DPNTIMMP,DPNTINDC,DPNTINDP,DPNTLEPC,DPNTLEPP,DPNTMALC,DPNTMALP,DPNTMIGC,DPNTMIGP,DPNTMLCC,DPNTMLCP,DPNTNEDC,DPNTNEDP,DPNTPCIC,DPNTPCIP,DPNTRSKC,DPNTRSKP,DPNTTT1C,DPNTTT1P,DPNTTWOC,DPNTTWOP,DPNTWHIC,DPNTWHIP
"'001902","CAYUGA ISD",48,9,535,3,0.6,22,4.1,35,6.5,202,37.8,248,46.4,0,0,52,9.7,1,0.2,0,0,0,0,2,0.4,287,53.6,1,0.2,9,1.7,333,62.2,0,0,187,35,535,100,27,5,431,80.6
"'001903","ELKHART ISD",69,5.8,1200,2,0.2,53,4.4,66,5.5,571,47.6,563,46.9,4,0.3,137,11.4,16,1.3,0,0,4,0.3,24,2,637,53.1,0,0,5,0.4,629,52.4,1,0.1,275,22.9,1200,100,52,4.3,951,79.3
"'001904","FRANKSTON ISD",71,9.2,769,9,1.2,79,10.3,49,6.4,428,55.7,362,47.1,3,0.4,62,8.1,11,1.4,0,0,3,0.4,24,3.1,407,52.9,0,0,19,2.5,341,44.3,0,0,274,35.6,769,100,30,3.9,586,76.2
"'001906","NECHES ISD",25,7.4,339,1,0.3,24,7.1,6,1.8,168,49.6,176,51.9,3,0.9,45,13.3,0,0,0,0,1,0.3,7,2.1,163,48.1,0,0,45,13.3,171,50.4,0,0,94,27.7,339,100,14,4.1,254,74.9
"'001907","PALESTINE ISD",200,5.9,3400,26,0.8,883,26,111,3.3,2726,80.2,1594,46.9,6,0.2,1445,42.5,10,0.3,58,1.7,9,0.3,534,15.7,1806,53.1,0,0,6,0.2,674,19.8,2,0.1,1950,57.4,3400,100,141,4.1,894,26.3
"'001908","WESTWOOD ISD",86,6.4,1352,6,0.4,268,19.8,59,4.4,928,68.6,654,48.4,19,1.4,333,24.6,0,0,5,0.4,10,0.7,90,6.7,698,51.6,3,0.2,1,0.1,424,31.4,0,0,748,55.3,719,53.2,60,4.4,675,49.9
"'001909","SLOCUM ISD",22,6,366,2,0.5,3,0.8,25,6.8,152,41.5,190,51.9,2,0.5,31,8.5,10,2.7,0,0,0,0,1,0.3,176,48.1,0,0,9,2.5,214,58.5,0,0,112,30.6,366,100,15,4.1,315,86.1
"'002901","ANDREWS ISD",294,7.1,4128,11,0.3,33,0.8,242,5.9,1923,46.6,2011,48.7,7,0.2,2850,69,64,1.6,2,0,15,0.4,528,12.8,2117,51.3,2,0,60,1.5,2205,53.4,0,0,1735,42,4071,98.6,70,1.7,1149,27.8
"'003801","PINEYWOODS COMMUNITY ACADEMY",66,6.6,996,11,1.1,148,14.9,44,4.4,506,50.8,509,51.1,4,0.4,298,29.9,5,0.5,0,0,2,0.2,49,4.9,487,48.9,0,0,11,1.1,490,49.2,1,0.1,415,41.7,996,100,35,3.5,501,50.3
"'003902","HUDSON ISD",241,8.7,2773,30,1.1,206,7.4,184,6.6,1449,52.3,1406,50.7,10,0.4,761,27.4,3,0.1,11,0.4,10,0.4,185,6.7,1367,49.3,0,0,88,3.2,1324,47.7,1,0,1013,36.5,2764,99.7,71,2.6,1694,61.1
