DISTRICT,DAUND19C,DAUND19R,DPCTENGA,DPCTFLAA,DPCTG01A,DPCTG02A,DPCTG03A,DPCTG04A,DPCTG05A,DPCTG06A,DPCTGKGA,DPCTGMEA,DPCTMATA,DPCTSCIA,DPCTSOCA,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRA9R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSA9R,DPERSAKR,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETG9XC,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSAUC,DPETSAUP,DPETSBHC,DPETSBHP,DPETSIMC,DPETSINC,DPETSINP,DPETSNOC,DPETSNOP,DPETSPEC,DPETSPEP,DPETSPHC,DPETSPHP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNT504C,DPNT504P,DPNTALLC,DPNTASIC,DPNTASIP,DPNTBILC,DPNTBILP,DPNTBLAC,DPNTBLAP,DPNTDSLC,DPNTDSLP,DPNTECOC,DPNTECOP,DPNTFEMC,DPNTFEMP,DPNTFOSC,DPNTFOSP,DPNTG01C,DPNTG01P,DPNTG02C,DPNTG02P,DPNTG03C,DPNTG03P,DPNTG04C,DPNTG04P,DPNTG05C,DPNTG05P,DPNTG06C,DPNTG06P,DPNTG07C,DPNTG07P,DPNTG08C,DPNTG08P,DPNTG09C,DPNTG09P,DPNTG10C,DPNTG10P,DPNTG11C,DPNTG11P,DPNTG12C,DPNTG12P,DPNTG9XC,DPNTGEEC,DPNTGEEP,DPNTGIFC,DPNTGIFP,DPNTGKNC,DPNTGKNP,DPNTGPKC,DPNTGPKP,DPNTHISC,DPNTHISP,DPNTHOMC,DPNTHOMP,DPNTIMMC,DPNTIMMP,DPNTINDC,DPNTINDP,DPNTLEPC,DPNTLEPP,DPNTMALC,DPNTMALP,DPNTMIGC,DPNTMIGP,DPNTMLCC,DPNTMLCP,DPNTNEDC,DPNTNEDP,DPNTPCIC,DPNTPCIP,DPNTRSKC,DPNTRSKP,DPNTSPEC,DPNTSPEP,DPNTTT1C,DPNTTT1P,DPNTTWOC,DPNTTWOP,DPNTVHSC,DPNTVHSP,DPNTWHIC,DPNTWHIP
'001902,0,0,8.1,8.6,19,14.3,16.5,14.7,16.100000000000001,15.7,16.5,.,11.5,11.8,14.3,60,10.9,4,0,0,9.5,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,7.1,0,49,8.8,557,2,0.4,1,0.2,17,3.1,1,0.2,29,5.2,228,40.9,263,47.2,0,0,38,6.8,30,5.4,52,9.3,46,8.3,50,9,49,8.8,35,6.3,41,7.4,47,8.4,45,8.1,40,7.2,40,7.2,172,1,0.2,39,7,33,5.9,10,1.8,45,8.1,2,0.4,0,0,0,0,1,0.2,294,52.8,1,0.2,5,0.9,329,59.1,0,0,232,41.7,-1,-1,7,8.5,82,60,73.2,-1,-1,82,14.7,12,14.6,557,100,25,4.5,134,77.9,165,29.6,468,84,49,8.8,557,2,0.4,1,0.2,17,3.1,29,5.2,228,40.9,263,47.2,0,0,38,6.8,30,5.4,52,9.3,46,8.3,50,9,49,8.8,35,6.3,41,7.4,47,8.4,45,8.1,40,7.2,40,7.2,172,1,0.2,39,7,33,5.9,10,1.8,45,8.1,2,0.4,0,0,0,0,1,0.2,294,52.8,1,0.2,5,0.9,329,59.1,0,0,232,41.7,82,14.7,557,100,25,4.5,134,77.900000000000006,468,84
'001903,2,0.3,10,19,17.100000000000001,17.8,15.6,17.399999999999999,20,14.6,18,.,11.3,14.6,9.8000000000000007,191,15.8,2.2999999999999998,1.4,0,0,0,0,0,1.2,2.5,11,16.7,0,10,0,0,0,0,18.2,0,7.1,73,5.9,1246,4,0.3,22,1.8,61,4.9,10,0.7,64,5.1,660,53,590,47.4,8,0.6,89,7.1,92,7.4,80,6.4,92,7.4,105,8.4,86,6.9,80,6.4,92,7.4,92,7.4,98,7.9,101,8.1,87,7,378,1,0.1,44,3.5,91,7.3,60,4.8,147,11.8,10,0.8,0,0,5,0.4,23,1.8,656,52.6,0,0,6,0.5,586,47,1,0.1,399,32,-3,-3,26,17.7,147,72,49,-1,-1,147,11.8,34,23.1,1246,100,51,4.1,138,36.5,378,30.3,977,78.4,73,5.9,1247,4,0.3,22,1.8,61,4.9,64,5.1,660,52.9,590,47.3,8,0.6,89,7.1,93,7.5,80,6.4,92,7.4,105,8.4,86,6.9,80,6.4,92,7.4,92,7.4,98,7.9,101,8.1,87,7,378,1,0.1,44,3.5,91,7.3,60,4.8,147,11.8,10,0.8,0,0,5,0.4,23,1.8,657,52.7,0,0,6,0.5,587,47.1,1,0.1,399,32,148,11.9,1247,100,51,4.1,138,36.5,978,78.4
'001904,85,21.6,11.5,15.4,18.100000000000001,12.5,16.899999999999999,13.8,19.3,16.2,24.2,.,13,15.3,18.100000000000001,116,15,2.9,0,4.3,0,0,0,0,0,3.7,10.3,50,0,0,0,0,0,0,0,0,33.299999999999997,75,9.6,785,7,0.9,22,2.8,76,9.7,5,0.6,48,6.1,421,53.6,376,47.9,11,1.4,58,7.4,38,4.8,55,7,57,7.3,78,9.9,58,7.4,60,7.6,58,7.4,71,9,56,7.1,47,6,54,6.9,228,1,0.1,71,9,71,9,23,2.9,61,7.8,5,0.6,0,0,6,0.8,22,2.8,409,52.1,0,0,18,2.3,364,46.4,0,0,284,36.2,-3,-3,28,30.8,91,42,46.2,-1,-1,91,11.6,12,13.2,785,100,30,3.8,207,90.8,207,26.4,605,77.1,75,9.5,786,7,0.9,22,2.8,76,9.7,48,6.1,422,53.7,376,47.8,11,1.4,58,7.4,39,5,55,7,57,7.3,78,9.9,58,7.4,60,7.6,58,7.4,71,9,56,7.1,47,6,54,6.9,228,1,0.1,71,9,71,9,23,2.9,61,7.8,5,0.6,0,0,6,0.8,22,2.8,410,52.2,0,0,18,2.3,364,46.3,0,0,284,36.1,92,11.7,786,100,30,3.8,207,90.8,606,77.1
'001906,2,1.1,9.4,11.6,8.3000000000000007,12,25.4,11.5,12.5,12.5,15,11.5,11.7,13.4,12.5,58,16.3,0,3.3,0,0,4.3,0,4.8,0,4.3,11.1,100,0,0,0,0,0,0,0,0,0,26,7.4,352,0,0,7,2,25,7.1,0,0,5,1.4,167,47.4,182,51.7,4,1.1,18,5.1,24,6.8,26,7.4,23,6.5,26,7.4,25,7.1,28,8,25,7.1,29,8.2,26,7.4,23,6.5,33,9.4,111,0,0,23,6.5,15,4.3,31,8.8,46,13.1,2,0.6,0,0,2,0.6,7,2,170,48.3,0,0,12,3.4,185,52.6,0,0,101,28.7,-1,-1,-1,-1,25,17,68,0,0,25,7.1,5,20,352,100,12,3.4,49,44.1,160,45.5,267,75.9,26,7.4,353,0,0,7,2,25,7.1,5,1.4,167,47.3,183,51.8,4,1.1,18,5.1,24,6.8,26,7.4,23,6.5,26,7.4,25,7.1,28,7.9,25,7.1,29,8.2,26,7.4,23,6.5,33,9.3,111,1,0.3,23,6.5,15,4.2,31,8.8,46,13,2,0.6,0,0,2,0.6,7,2,170,48.2,0,0,12,3.4,186,52.7,0,0,101,28.6,26,7.4,352,99.7,12,3.4,49,44.1,268,75.9
'001907,0,0,16,17.100000000000001,19.600000000000001,19.2,19.399999999999999,18.7,23,17.600000000000001,19.8,.,17.3,18.7,14.4,363,11.5,4.7,0,0,0,0,0,0,0.4,5.2,0,6.5,0,0,0,0,0,0,0,22,6.5,179,5.2,3434,30,0.9,554,16.1,899,26.2,114,3.1,105,3.1,2735,79.6,1591,46.3,13,0.4,258,7.5,215,6.3,237,6.9,212,6.2,256,7.5,231,6.7,259,7.5,258,7.5,287,8.4,265,7.7,211,6.1,224,6.5,987,4,0.1,87,2.5,259,7.5,258,7.5,1452,42.3,13,0.4,77,2.2,7,0.2,595,17.3,1843,53.7,1,0,9,0.3,699,20.4,2,0.1,2000,58.2,59,14.8,79,19.8,399,182,45.6,7,1.8,399,11.6,72,18,3434,100,131,3.8,918,93,1108,32.3,913,26.6,179,5.2,3436,30,0.9,554,16.1,900,26.2,105,3.1,2737,79.7,1592,46.3,13,0.4,258,7.5,215,6.3,237,6.9,212,6.2,256,7.5,231,6.7,259,7.5,258,7.5,287,8.4,265,7.7,211,6.1,224,6.5,987,4,0.1,87,2.5,260,7.6,259,7.5,1452,42.3,13,0.4,77,2.2,7,0.2,595,17.3,1844,53.7,1,0,9,0.3,699,20.3,2,0.1,2000,58.2,401,11.7,3436,100,131,3.8,918,93,914,26.6
'001908,0,0,17.399999999999999,16.8,18.7,19.600000000000001,18.600000000000001,17.8,18.7,22,16.899999999999999,20,16.3,16.100000000000001,14.8,238,16.1,1.2,2.1,2.2000000000000002,2,0,1.2,0,1,1,4.4000000000000004,0,4,0,0,0,0,0,0,14.3,12.5,90,5.9,1514,6,0.4,84,5.5,296,19.6,11,0.6,58,3.8,970,64.1,735,48.5,18,1.2,115,7.6,101,6.7,113,7.5,110,7.3,115,7.6,116,7.7,94,6.2,119,7.9,123,8.1,125,8.3,98,6.5,95,6.3,441,3,0.2,42,2.8,98,6.5,89,5.9,370,24.4,3,0.2,8,0.5,11,0.7,92,6.1,779,51.5,0,0,3,0.2,544,35.9,0,0,806,53.2,-3,-3,32,15.1,212,128,60.4,-1,-1,212,14,30,14.2,861,56.9,63,4.2,335,76,407,26.9,768,50.7,90,5.9,1514,6,0.4,84,5.5,296,19.6,58,3.8,970,64.1,735,48.5,18,1.2,115,7.6,101,6.7,113,7.5,110,7.3,115,7.6,116,7.7,94,6.2,119,7.9,123,8.1,125,8.3,98,6.5,95,6.3,441,3,0.2,42,2.8,98,6.5,89,5.9,370,24.4,3,0.2,8,0.5,11,0.7,92,6.1,779,51.5,0,0,3,0.2,544,35.9,0,0,806,53.2,212,14,861,56.9,63,4.2,335,76,768,50.7
'001909,0,0,11.8,16.600000000000001,13.5,14.8,10.199999999999999,8.6999999999999993,11.2,9.5,15,.,12.5,12.6,14.6,41,10.8,5.7,0,4.5,0,0,0,4.5,3.4,3.3,0,0,0,0,0,25,0,0,0,0,50,17,4.5,381,2,0.5,1,0.3,3,0.8,1,0.2,18,4.7,159,41.7,194,50.9,2,0.5,27,7.1,37,9.7,27,7.1,26,6.8,26,6.8,24,6.3,38,10,23,6,32,8.4,34,8.9,31,8.1,24,6.3,121,0,0,15,3.9,15,3.9,17,4.5,34,8.9,9,2.4,0,0,0,0,1,0.3,187,49.1,0,0,4,1,222,58.3,0,0,131,34.4,-1,-1,-3,-3,51,36,70.6,0,0,51,13.4,7,13.7,381,100,14,3.7,114,94.2,160,42,328,86.1,17,4.5,382,2,0.5,1,0.3,3,0.8,18,4.7,159,41.6,194,50.8,2,0.5,27,7.1,37,9.7,27,7.1,26,6.8,26,6.8,24,6.3,38,9.9,23,6,32,8.4,34,8.9,31,8.1,24,6.3,121,1,0.3,15,3.9,15,3.9,17,4.5,34,8.9,9,2.4,0,0,0,0,1,0.3,188,49.2,0,0,4,1,223,58.4,0,0,131,34.3,52,13.6,382,100,14,3.7,114,94.2,329,86.1
'002901,1,0.1,15.9,11.8,18.7,21.3,19.7,18.8,20.100000000000001,19.2,15.7,.,17.399999999999999,18.100000000000001,16.899999999999999,527,12.7,3.8,2.4,0.4,0,1.4,0.9,0.7,0.3,8.6,2.1,4.3,0,3.8,2.5,0,0,0,2.8,3.1,4.3,255,5.9,4352,15,0.3,647,14.9,26,0.6,95,2,95,2.2,2089,48,2120,48.7,4,0.1,373,8.6,345,7.9,318,7.3,296,6.8,351,8.1,334,7.7,366,8.4,304,7,356,8.2,315,7.2,302,6.9,236,5.4,1209,8,0.2,262,6,315,7.2,133,3.1,2982,68.5,64,1.5,0,0,17,0.4,576,13.2,2232,51.3,3,0.1,0,0,2263,52,0,0,1830,42,29,7.8,70,18.8,372,206,55.4,8,2.2,372,8.5,59,15.9,4352,100,76,1.7,206,17,1034,23.8,1236,28.4,255,5.8,4359,15,0.3,647,14.8,26,0.6,95,2.2,2089,47.9,2120,48.6,4,0.1,373,8.6,345,7.9,318,7.3,296,6.8,351,8.1,334,7.7,366,8.4,304,7,356,8.2,315,7.2,302,6.9,236,5.4,1209,15,0.3,262,6,315,7.2,133,3.1,2987,68.5,64,1.5,0,0,17,0.4,576,13.2,2239,51.4,3,0.1,0,0,2270,52.1,0,0,1830,42,379,8.7,4359,100,76,1.7,206,17,1238,28.4
'003801,1,0.2,14.7,12.8,19.399999999999999,20.7,21,19.5,22.2,16,19.8,.,15.6,19.2,20.100000000000001,59,6.7,2.9,2.7,1.4,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,33.299999999999997,0,69,6.6,1041,12,1.2,46,4.4,157,15.1,0,0,49,4.7,555,53.3,542,52.1,5,0.5,78,7.5,83,8,84,8.1,78,7.5,89,8.5,84,8.1,84,8.1,81,7.8,82,7.9,72,6.9,57,5.5,60,5.8,271,0,0,97,9.3,79,7.6,30,2.9,293,28.1,9,0.9,0,0,1,0.1,46,4.4,499,47.9,0,0,13,1.2,486,46.7,1,0.1,434,41.7,9,9.5,8,8.4,95,64,67.4,0,0,95,9.1,14,14.7,1040,99.9,34,3.3,51,18.8,170,16.3,543,52.2,69,6.6,1041,12,1.2,46,4.4,157,15.1,49,4.7,555,53.3,542,52.1,5,0.5,78,7.5,83,8,84,8.1,78,7.5,89,8.5,84,8.1,84,8.1,81,7.8,82,7.9,72,6.9,57,5.5,60,5.8,271,0,0,97,9.3,79,7.6,30,2.9,293,28.1,9,0.9,0,0,1,0.1,46,4.4,499,47.9,0,0,13,1.2,486,46.7,1,0.1,434,41.7,95,9.1,1040,99.9,34,3.3,51,18.8,543,52.2
'003902,3,0.2,18.2,22.3,20.3,21,17,20.399999999999999,18.3,21.2,19.3,.,18.899999999999999,18.899999999999999,19.2,321,11.4,4.5,5.5,2.2000000000000002,0.5,1.5,1.4,1.6,0.5,3.9,2.1,3.7,9.5,5.9,0,6.7,0,0,0,0,23.1,234,7.9,2945,35,1.2,170,5.8,206,7,64,2,178,6,1558,52.9,1500,50.9,18,0.6,222,7.5,234,7.9,218,7.4,210,7.1,231,7.8,228,7.7,239,8.1,217,7.4,233,7.9,223,7.6,188,6.4,200,6.8,844,4,0.1,162,5.5,211,7.2,87,3,777,26.4,8,0.3,13,0.4,21,0.7,183,6.2,1445,49.1,0,0,8,0.3,1387,47.1,1,0,947,32.2,-3,-3,46,17.4,264,134,50.8,-1,-1,264,9,53,20.1,2937,99.7,80,2.7,650,77,1016,34.5,1825,62,234,7.9,2948,36,1.2,170,5.8,207,7,178,6,1559,52.9,1500,50.9,18,0.6,222,7.5,234,7.9,218,7.4,210,7.1,231,7.8,228,7.7,239,8.1,217,7.4,233,7.9,223,7.6,188,6.4,201,6.8,845,6,0.2,162,5.5,211,7.2,87,3,777,26.4,8,0.3,13,0.4,21,0.7,183,6.2,1448,49.1,0,0,8,0.3,1389,47.1,1,0,948,32.2,267,9.1,2940,99.7,80,2.7,651,77,1826,61.9
