DISTRICT,D20GR14N,D20GR14R,D30GR14N,D30GR14R,D40GR14N,D40GR14R,DA0GF14N,DA0GF14P,DA0GH14N,DA0GH14P,DA0GM14N,DA0GM14P,DA0GR14N,DA0GR14R,DAPID15N,DAPID15R,DAUND14C,DAUND14R,DB0GR14N,DB0GR14R,DH0GR14N,DH0GR14R,DI0GR14N,DI0GR14R,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR14N,DS0GR14R,DW0GR14N,DW0GR14R
'001902,2,6.1,0,0,0,0,0,0,30,90.9,3,9.1,33,100,0,0,0,0,2,6.1,3,9.1,0,0,73,13.2,10.8,0,0,0,0,0,2.4,0,2.8,0,0,100,0,0,0,0,0,20,577,3,0.5,1,0.2,27,4.7,4,0.6,210,36.4,43,7.5,35,6.1,38,6.6,35,6.1,41,7.1,39,6.8,32,5.5,49,8.5,46,8,54,9.4,46,8,60,10.4,1,0.2,60,10.4,44,7.6,14,2.4,37,6.4,0,0,1,0.2,367,63.6,0,0,206,35.7,76,13.2,32,5.5,181,31.4,478,82.8,6,18.2,26,78.8
'001903,2,2.8,1,1.4,0,0,0,0,58,80.599999999999994,14,19.399999999999999,72,100,2,0.1,2,0.3,1,1.4,5,6.9,0,0,153,13.3,4.9000000000000004,3.4,0,0,2.2999999999999998,1,0,2.6,7.1,18.2,0,0,0,7.1,0,0,0,42.9,1217,13,1.1,16,1.3,64,5.3,5,0.4,648,53.2,70,5.8,71,5.8,77,6.3,91,7.5,88,7.2,105,8.6,106,8.7,94,7.7,94,7.7,104,8.5,83,6.8,74,6.1,0,0,47,3.9,109,9,51,4.2,108,8.9,1,0.1,16,1.3,569,46.8,2,0.2,406,33.4,126,10.4,38,3.1,273,22.4,991,81.4,6,8.3000000000000007,63,87.5
'001904,1,1.8,0,0,0,0,0,0,48,84.2,9,15.8,57,100,0,0,3,0.8,10,17.5,3,5.3,1,1.8,116,15.5,0,2,3.8,0,2.6,0,1.8,1.6,1.8,0,25,11.1,14.3,0,0,0,0,0,803,7,0.9,19,2.4,89,11.1,9,1.1000000000000001,446,55.5,63,7.8,60,7.5,62,7.7,61,7.6,63,7.8,44,5.5,61,7.6,68,8.5,68,8.5,55,6.8,58,7.2,42,5.2,4,0.5,46,5.7,64,8,30,3.7,83,10.3,4,0.5,19,2.4,357,44.5,0,0,334,41.6,78,9.7,32,4,213,26.5,588,73.2,12,21.1,42,73.7
'001906,1,2.5,1,2.5,0,0,0,0,32,80,8,20,40,100,0,0,0,0,2,5,6,15,0,0,61,15.1,0,0,0,0,0,3.2,3.4,4.8,12.5,.,0,0,0,0,0,0,14.3,100,370,1,0.3,3,0.8,30,8.1,2,0.5,156,42.2,19,5.1,31,8.4,28,7.6,33,8.9,27,7.3,26,7,34,9.2,28,7.6,29,7.8,22,5.9,32,8.6,31,8.4,0,0,24,6.5,30,8.1,0,0,41,11.1,0,0,3,0.8,214,57.8,0,0,117,31.6,41,11.1,6,1.6,118,31.9,292,78.9,4,10,30,75
'001907,1,0.6,2,1.1000000000000001,0,0,0,0,163,92.6,13,7.4,176,100,4,0.1,1,0.1,56,31.8,56,31.8,0,0,572,18.2,3.9,4.3,0.5,0,0,0,0,1,2.1,0,0,0,0,7.1,6.3,0,8,0,3352,29,0.9,470,14,911,27.2,79,2.1,2458,73.3,269,8,284,8.5,250,7.5,234,7,251,7.5,231,6.9,229,6.8,243,7.2,259,7.7,266,7.9,195,5.8,177,5.3,3,0.1,103,3.1,276,8.2,185,5.5,1311,39.1,47,1.4,523,15.6,894,26.7,3,0.1,2069,61.7,292,8.7,93,2.8,1096,32.7,958,28.6,14,8,61,34.700000000000003
'001908,5,6.3,1,1.3,2,2.5,0,0,65,82.3,14,17.7,79,100,7,0.4,5,0.7,18,22.8,8,10.1,0,0,286,18.2,10.1,2.6,0,0,0,0.9,0,1.1000000000000001,8.1,12.5,7.1,0,0,0,0,0,0,28.6,1595,13,0.8,86,5.4,277,17.4,26,1.5,1020,63.9,144,9,117,7.3,113,7.1,122,7.6,116,7.3,111,7,119,7.5,118,7.4,123,7.7,116,7.3,116,7.3,85,5.3,4,0.3,33,2.1,136,8.5,55,3.4,398,25,5,0.3,95,6,575,36.1,0,0,796,49.9,148,9.3,57,3.6,334,20.9,845,53,9,11.4,45,57
'001909,0,0,0,0,0,0,2,6.9,23,79.3,4,13.8,29,100,0,0,0,0,0,0,0,0,1,3.4,57,15,8.6,5.6,12.9,9.5,0,9.6999999999999993,4.5,0,4.8,33.299999999999997,0,0,0,0,0,0,0,50,389,0,0,0,0,5,1.3,7,1.6,163,41.9,23,5.9,35,9,26,6.7,29,7.5,24,6.2,32,8.2,33,8.5,25,6.4,26,6.7,23,5.9,34,8.7,26,6.7,1,0.3,16,4.1,29,7.5,23,5.9,22,5.7,4,1,0,0,226,58.1,0,0,138,35.5,48,12.3,8,2.1,148,38,350,90,4,13.8,28,96.6
'002901,2,0.9,0,0,0,0,0,0,174,75.7,56,24.3,230,100,0,0,4,0.2,4,1.7,136,59.1,2,0.9,543,14.8,1.7,1.4,0.4,0.4,1.8,0,0.4,0,1.8,18.8,0,0,0,0,0,0,0,20,4006,14,0.3,526,13.1,60,1.5,32,0.8,1464,36.5,317,7.9,340,8.5,305,7.6,320,8,316,7.9,340,8.5,274,6.8,310,7.7,268,6.7,267,6.7,267,6.7,232,5.8,3,0.1,119,3,334,8.3,113,2.8,2670,66.7,7,0.2,507,12.7,2542,63.5,0,0,1690,42.2,256,6.4,59,1.5,867,21.6,1196,29.9,24,10.4,86,37.4
'003801,0,0,1,4.8,0,0,0,0,20,95.2,1,4.8,21,100,0,0,3,1.2,3,14.3,2,9.5,0,0,37,5.9,3.9,5.5,1.8,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,811,19,2.3,41,5.1,134,16.5,0,0,407,50.2,80,9.9,80,9.9,60,7.4,63,7.8,66,8.1,66,8.1,68,8.4,61,7.5,44,5.4,39,4.8,39,4.8,39,4.8,0,0,60,7.4,78,9.6,28,3.5,140,17.3,0,0,41,5.1,404,49.8,1,0.1,273,33.7,49,6,15,1.8,75,9.2,502,61.9,3,14.3,15,71.400000000000006
'003902,3,1.7,4,2.2000000000000002,0,0,0,0,153,84.5,28,15.5,181,100,3,0.1,10,0.8,5,2.8,48,26.5,1,0.6,436,15.9,8.3000000000000007,2.2999999999999998,2.7,1.1000000000000001,1.1000000000000001,1.6,1,0.6,2.7,21.4,0,0,5.3,0,7.1,0,0,9.1,2816,24,0.9,168,6,191,6.8,64,2.1,1499,53.2,224,8,213,7.6,209,7.4,220,7.8,204,7.2,221,7.8,207,7.4,221,7.8,226,8,201,7.1,182,6.5,184,6.5,3,0.1,148,5.3,198,7,103,3.7,647,23,25,0.9,178,6.3,1317,46.8,1,0,988,35.1,200,7.1,38,1.3,694,24.6,1890,67.1,8,4.4000000000000004,120,66.3
