DISTRICT,D20GR15N,D20GR15R,D30GR15N,D30GR15R,D40GR15N,D40GR15R,DA0GA15N,DA0GA15P,DA0GE15N,DA0GE15P,DA0GH15N,DA0GH15P,DA0GM15N,DA0GM15P,DA0GN15N,DA0GN15P,DA0GR15N,DA0GR15R,DAUND15C,DAUND15R,DB0GR15N,DB0GR15R,DE0GR15N,DE0GR15R,DH0GR15N,DH0GR15R,DI0GR15N,DI0GR15R,DL0GR15N,DL0GR15R,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DR0GR15N,DR0GR15R,DS0GR15N,DS0GR15R,DW0GR15N,DW0GR15R
'001902,1,1.8,1,1.8,0,0,0,0,0,0,46,82.1,10,17.899999999999999,0,0,56,100,0,0,6,10.7,13,23.2,4,7.1,0,0,0,0,75,13.2,2.6,0,3.2,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,14.3,568,4,0.7,3,0.5,24,4.2,7,1.1000000000000001,192,33.8,50,8.8,47,8.3,45,7.9,34,6,44,7.7,47,8.3,40,7,33,5.8,48,8.5,45,7.9,47,8.3,48,8.5,1,0.2,63,11.1,39,6.9,0,0,40,7,0,0,3,0.5,376,66.2,0,0,224,39.4,78,13.7,29,5.1,153,26.9,471,82.9,13,23.2,8,14.3,44,78.599999999999994
'001903,3,4.0999999999999996,1,1.4,0,0,0,0,0,0,62,84.9,11,15.1,0,0,73,100,2,0.3,2,2.7,28,38.4,4,5.5,0,0,0,0,195,16.5,4.5,1.6,0,0,0,1.2,6.5,1.2,17,33.299999999999997,0,9.1,0,0,0,6.7,25,38.5,1244,11,0.9,19,1.5,67,5.4,6,0.4,681,54.7,93,7.5,77,6.2,76,6.1,81,6.5,88,7.1,93,7.5,105,8.4,101,8.1,103,8.3,88,7.1,103,8.3,74,5.9,4,0.3,45,3.6,96,7.7,62,5,119,9.6,1,0.1,19,1.5,563,45.3,2,0.2,380,30.5,144,11.6,32,2.6,304,24.4,1012,81.4,12,16.399999999999999,3,4.0999999999999996,63,86.3
'001904,0,0,1,2.2999999999999998,0,0,0,0,0,0,31,72.099999999999994,11,25.6,1,2.2999999999999998,43,100,0,0,8,18.600000000000001,25,58.1,5,11.6,0,0,0,0,133,17,1.9,7.5,5.6,0,3.8,0,0,1.6,6.6,16.7,0,0,0,0,0,0,0,0,841,6,0.7,19,2.3,74,8.8,9,1,475,56.5,72,8.6,71,8.4,57,6.8,64,7.6,72,8.6,68,8.1,48,5.7,59,7,65,7.7,66,7.8,53,6.3,47,5.6,3,0.4,60,7.1,58,6.9,38,4.5,86,10.2,4,0.5,19,2.3,366,43.5,1,0.1,338,40.2,69,8.2,32,3.8,273,32.5,638,75.9,31,72.099999999999994,9,20.9,29,67.400000000000006
'001906,0,0,0,0,0,0,0,0,0,0,26,89.7,3,10.3,0,0,29,100,0,0,2,6.9,10,34.5,1,3.4,0,0,0,0,68,17.7,10,0,0,0,0,4.5,0,0,7.1,.,.,0,0,0,0,0,0,0,383,3,0.8,6,1.6,32,8.4,4,1,164,42.8,28,7.3,25,6.5,32,8.4,28,7.3,27,7,28,7.3,25,6.5,34,8.9,30,7.8,27,7,23,6,33,8.6,1,0.3,26,6.8,24,6.3,18,4.7,44,11.5,0,0,6,1.6,219,57.2,0,0,116,30.3,42,11,8,2.1,140,36.6,296,77.3,5,17.2,2,6.9,26,89.7
'001907,0,0,3,1.7,0,0,0,0,0,0,161,92,14,8,0,0,175,100,3,0.2,51,29.1,102,58.3,70,40,0,0,3,1.7,583,17.8,2.9,1.6,1.8,0,0.9,0.9,0.5,1.8,4.7,14.3,8,0,0,0,0,0,4.3,27.3,3385,27,0.8,492,14.5,914,27,118,3.1,2507,74.1,262,7.7,267,7.9,278,8.2,247,7.3,235,6.9,254,7.5,243,7.2,236,7,278,8.2,238,7,236,7,175,5.2,4,0.1,92,2.7,245,7.2,187,5.5,1396,41.2,6,0.2,538,15.9,878,25.9,1,0,2030,60,289,8.5,96,2.8,1159,34.2,945,27.9,90,51.4,14,8,51,29.1
'001908,3,3.4,1,1.1000000000000001,0,0,0,0,0,0,76,86.4,12,13.6,0,0,88,100,2,0.3,18,20.5,48,54.5,9,10.199999999999999,0,0,0,0,252,16.100000000000001,4.7,2,1,2.8,0.9,0,1.9,2.8,6.3,0,0,0,0,9.1,0,0,0,0,1609,8,0.5,82,5.1,286,17.8,17,0.9,1010,62.8,140,8.7,139,8.6,106,6.6,127,7.9,120,7.5,118,7.3,118,7.3,123,7.6,119,7.4,120,7.5,103,6.4,96,6,2,0.1,36,2.2,120,7.5,58,3.6,385,23.9,9,0.6,92,5.7,599,37.2,0,0,849,52.8,159,9.9,64,4,415,25.8,857,53.3,30,34.1,9,10.199999999999999,57,64.8
'001909,0,0,0,0,0,0,0,0,0,0,19,59.4,11,34.4,2,6.3,32,100,0,0,0,0,14,43.8,1,3.1,0,0,0,0,58,15.1,10.5,0,0,0,8,0,3.8,0,12.9,25,0,0,0,0,0,0,0,0,414,1,0.2,4,1,9,2.2,1,0.2,198,47.8,40,9.7,21,5.1,38,9.2,29,7,31,7.5,28,6.8,34,8.2,34,8.2,26,6.3,27,6.5,23,5.6,26,6.3,0,0,20,4.8,27,6.5,30,7.2,22,5.3,3,0.7,4,1,216,52.2,0,0,140,33.8,54,13,9,2.2,152,36.7,370,89.4,14,43.8,6,18.8,31,96.9
'002901,5,2,1,0.4,0,0,199,78,0,0,2,0.8,38,14.9,16,6.3,255,100,33,1.9,4,1.6,44,17.3,149,58.4,0,0,7,2.7,517,13.4,1.8,0.6,0,0.4,1,0.4,0.4,0,2.9,0,0,0,0,0,0,0,0,5.6,3968,16,0.4,485,12.2,45,1.1,45,1,1575,39.7,324,8.2,297,7.5,344,8.7,291,7.3,310,7.8,318,8,324,8.2,279,7,305,7.7,255,6.4,261,6.6,228,5.7,4,0.1,180,4.5,296,7.5,132,3.3,2673,67.4,10,0.3,510,12.9,2393,60.3,0,0,1620,40.8,258,6.5,70,1.8,916,23.1,1154,29.1,97,38,16,6.3,96,37.6
'003801,0,0,1,2.5,0,0,0,0,0,0,39,97.5,1,2.5,0,0,40,100,0,0,4,10,6,15,4,10,0,0,0,0,62,8.3000000000000007,5.6,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,14.3,966,22,2.3,50,5.2,166,17.2,1,0.1,451,46.7,85,8.8,84,8.7,84,8.7,86,8.9,86,8.9,83,8.6,70,7.2,70,7.2,63,6.5,52,5.4,39,4,41,4.2,0,0,75,7.8,80,8.3,43,4.5,189,19.6,0,0,51,5.3,515,53.3,2,0.2,154,15.9,58,6,17,1.8,84,8.7,570,59,22,55,1,2.5,31,77.5
'003902,5,2.6,3,1.6,0,0,24,12.7,0,0,132,69.8,28,14.8,5,2.6,189,100,0,0,11,5.8,78,41.3,45,23.8,0,0,2,1.1000000000000001,336,12.4,10.6,2,2.7,3,1.1000000000000001,1,0,0.5,1.7,5.9,0,0,0,0,0,0,0,7.1,2778,23,0.8,190,6.8,184,6.6,66,2.2000000000000002,1486,53.5,212,7.6,203,7.3,227,8.2,203,7.3,223,8,209,7.5,208,7.5,209,7.5,226,8.1,214,7.7,193,6.9,176,6.3,5,0.2,150,5.4,178,6.4,92,3.3,668,24,19,0.7,198,7.1,1292,46.5,0,0,1077,38.8,212,7.6,48,1.7,719,25.9,1836,66.1,41,21.7,10,5.3,125,66.099999999999994
'003903,9,1.8,5,1,0,0,0,0,0,0,415,81.400000000000006,95,18.600000000000001,0,0,510,100,36,1,174,34.1,278,54.5,141,27.6,4,0.8,11,2.2000000000000002,1367,17.3,6.3,3.6,0.9,0.2,1,0,0,0.4,0.4,6.1,2.5,0,0,0,0,0,0,12.9,8243,142,1.7,1948,23.6,2362,28.7,325,3.6,6019,73,644,7.8,642,7.8,646,7.8,601,7.3,559,6.8,599,7.3,532,6.5,564,6.8,607,7.4,574,7,557,6.8,466,5.7,8,0.1,851,10.3,589,7.1,655,7.9,3286,39.9,19,0.2,1545,18.7,2224,27,11,0.1,5175,62.8,863,10.5,158,1.9,1666,20.2,2265,27.5,260,51,115,22.5,177,34.700000000000003
'003904,2,1.5,0,0,0,0,14,10.8,0,0,74,56.9,31,23.8,11,8.5,130,100,1,0.1,0,0,59,45.4,9,6.9,0,0,0,0,288,16.3,6.8,1.8,0,0,0.8,0,0.8,0.8,1,0,5,11.1,0,0,0,0,0,20,1699,2,0.1,18,1.1,37,2.2,28,1.5,884,52,117,6.9,124,7.3,131,7.7,130,7.7,106,6.2,134,7.9,100,5.9,129,7.6,155,9.1,150,8.8,155,9.1,131,7.7,1,0.1,86,5.1,104,6.1,32,1.9,110,6.5,9,0.5,18,1.1,815,48,2,0.1,767,45.1,149,8.8,45,2.6,557,32.8,1494,87.9,55,42.3,6,4.5999999999999996,119,91.5
'003905,3,2.6,0,0,0,0,1,0.9,0,0,80,69,35,30.2,0,0,116,100,1,0.1,17,14.7,76,65.5,56,48.3,0,0,3,2.6,218,12.4,2.4,3.1,0,1.7,0.8,0,0,0,5.9,16.7,0,0,0,0,0,0,0,0,1878,5,0.3,328,17.5,216,11.5,24,1.1000000000000001,1316,70.1,133,7.1,138,7.3,146,7.8,131,7,124,6.6,145,7.7,114,6.1,147,7.8,124,6.6,132,7,130,6.9,127,6.8,0,0,64,3.4,115,6.1,172,9.2,1021,54.4,5,0.3,336,17.9,562,29.9,1,0.1,1122,59.7,211,11.2,24,1.3,440,23.4,606,32.3,74,63.8,11,9.5,40,34.5
'003906,0,0,0,0,0,0,0,0,0,0,33,82.5,7,17.5,0,0,40,100,0,0,0,0,18,45,1,2.5,0,0,0,0,69,17,0,5.6,0,0,3.8,0,0,0,6.5,0,0,0,0,0,0,0,33.299999999999997,0,419,0,0,0,0,5,1.2,0,0,259,61.8,32,7.6,27,6.4,27,6.4,31,7.4,29,6.9,34,8.1,38,9.1,32,7.6,28,6.7,31,7.4,25,6,30,7.2,0,0,21,5,31,7.4,24,5.7,18,4.3,5,1.2,1,0.2,160,38.2,0,0,185,44.2,57,13.6,11,2.6,136,32.5,380,90.7,23,57.5,3,7.5,39,97.5
'003907,0,0,0,0,0,0,20,20.8,0,0,48,50,28,29.2,0,0,96,100,0,0,3,3.1,35,36.5,14,14.6,0,0,0,0,243,15.5,9.8000000000000007,2.9,1.8,1.1000000000000001,0,0,0,0,5,9.1,0,0,0,0,0,0,0,53.3,1583,1,0.1,48,3,91,5.7,46,2.7,856,54.1,118,7.5,121,7.6,117,7.4,111,7,109,6.9,119,7.5,117,7.4,120,7.6,123,7.8,127,8,116,7.3,108,6.8,4,0.3,76,4.8,122,7.7,51,3.2,307,19.4,6,0.4,51,3.2,727,45.9,0,0,754,47.6,166,10.5,31,2,427,27,1147,72.5,36,37.5,8,8.3000000000000007,79,82.3
'004901,3,1.4,10,4.8,0,0,0,0,0,0,177,84.7,26,12.4,6,2.9,209,100,2,0.1,4,1.9,89,42.6,72,34.4,1,0.5,2,1,568,17.3,5.7,1,0.9,0.5,0.9,2.2000000000000002,0.5,0.4,4.2,0,4.5,0,0,3.6,0,0,0,20,3399,65,1.9,154,4.5,53,1.6,64,1.7,1847,54.3,248,7.3,259,7.6,247,7.3,268,7.9,258,7.6,289,8.5,224,6.6,256,7.5,277,8.1,291,8.6,226,6.6,205,6,8,0.2,132,3.9,257,7.6,86,2.5,1395,41,10,0.3,154,4.5,1552,45.7,2,0.1,1691,49.7,330,9.7,81,2.4,886,26.1,1793,52.8,74,35.4,17,8.1,119,56.9
'005901,1,2.6,0,0,0,0,0,0,0,0,32,82.1,7,17.899999999999999,0,0,39,100,1,0.4,1,2.6,12,30.8,1,2.6,0,0,0,0,43,9.5,0,0,0,0,0,0,0,0,4.5,33.299999999999997,0,0,0,0,0,0,0,.,460,2,0.4,6,1.3,5,1.1,1,0.2,187,40.7,24,5.2,33,7.2,29,6.3,27,5.9,35,7.6,43,9.3,26,5.7,36,7.8,31,6.7,42,9.1,44,9.6,34,7.4,0,0,36,7.8,33,7.2,23,5,40,8.7,3,0.7,6,1.3,273,59.3,0,0,148,32.2,52,11.3,26,5.7,133,28.9,384,83.5,12,30.8,5,12.8,36,92.3
'005902,0,0,0,0,0,0,0,0,0,0,44,83,7,13.2,2,3.8,53,100,0,0,0,0,3,5.7,1,1.9,0,0,0,0,67,7.8,1.7,3.4,0,0,0,1.4,0,0,7.7,0,0,0,0,0,0,0,0,0,945,2,0.2,4,0.4,3,0.3,4,0.4,227,24,69,7.3,70,7.4,64,6.8,72,7.6,76,8,71,7.5,89,9.4,77,8.1,77,8.1,66,7,81,8.6,55,5.8,1,0.1,50,5.3,70,7.4,7,0.7,75,7.9,6,0.6,4,0.4,718,76,0,0,356,37.7,72,7.6,18,1.9,273,28.9,841,89,6,11.3,6,11.3,52,98.1
'005904,1,2.6,0,0,0,0,0,0,0,0,34,89.5,4,10.5,0,0,38,100,0,0,0,0,18,47.4,14,36.799999999999997,1,2.6,1,2.6,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,32,7.3,1,0.2,0,0,149,33.9,24,5.5,31,7.1,31,7.1,30,6.8,28,6.4,32,7.3,28,6.4,33,7.5,39,8.9,42,9.6,38,8.7,49,11.2,0,0,37,8.4,21,4.8,13,3,120,27.3,4,0.9,32,7.3,290,66.1,0,0,145,33,36,8.2,1,0.2,195,44.4,313,71.3,23,60.5,3,7.9,22,57.9
