DISTRICT,D20GR16N,D20GR16R,D30GR16N,D30GR16R,D40GR16N,D40GR16R,DA0GA16N,DA0GA16P,DA0GE16N,DA0GE16P,DA0GH16N,DA0GH16P,DA0GM16N,DA0GM16P,DA0GN16N,DA0GN16P,DA0GR16N,DA0GR16R,DAUND16C,DAUND16R,DB0GR16N,DB0GR16R,DE0GR16N,DE0GR16R,DH0GR16N,DH0GR16R,DI0GR16N,DI0GR16R,DL0GR16N,DL0GR16R,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSAUC,DPETSAUP,DPETSBHC,DPETSBHP,DPETSIMC,DPETSINC,DPETSINP,DPETSNOC,DPETSNOP,DPETSPEC,DPETSPEP,DPETSPHC,DPETSPHP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DR0GR16N,DR0GR16R,DS0GR16N,DS0GR16R,DW0GR16N,DW0GR16R
'001902,2,4.4000000000000004,1,2.2000000000000002,0,0,0,0,0,0,32,71.099999999999994,12,26.7,1,2.2000000000000002,45,100,0,0,1,2.2000000000000002,10,22.2,1,2.2000000000000002,0,0,1,2.2000000000000002,81,14.1,2.2999999999999998,8.6,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,3,0.5,3,0.5,27,4.7,6,1,192,33.3,48,8.3,46,8,47,8.2,40,6.9,41,7.1,42,7.3,50,8.7,44,7.6,37,6.4,48,8.3,39,6.8,49,8.5,1,0.2,55,9.5,44,7.6,0,0,42,7.3,0,0,3,0.5,384,66.7,0,0,203,35.2,-1,-1,7,8.5,82,57,69.5,-1,-1,82,14.2,15,18.3,25,4.3,150,26,479,83.2,12,26.7,10,22.2,40,88.9
'001903,5,6.8,0,0,0,0,0,0,1,1.4,61,82.4,12,16.2,0,0,74,100,0,0,2,2.7,25,33.799999999999997,4,5.4,1,1.4,0,0,185,15.4,9.6,4.9000000000000004,0,0,2.7,1.2,0,0,13.9,0,7.7,0,0,0,0,0,0,10,1267,11,0.9,19,1.5,67,5.3,5,0.4,673,53.1,82,6.5,93,7.3,73,5.8,85,6.7,84,6.6,88,6.9,94,7.4,112,8.8,110,8.7,104,8.2,91,7.2,89,7,4,0.3,39,3.1,102,8.1,56,4.4,137,10.8,1,0.1,19,1.5,594,46.9,2,0.2,453,35.8,-3,-3,19,13.7,139,75,54,-1,-1,139,11,35,25.2,38,3,299,23.6,1011,79.8,19,25.7,7,9.5,62,83.8
'001904,2,4,1,2,0,0,0,0,0,0,41,82,9,18,0,0,50,100,2,0.5,10,20,24,48,8,16,0,0,1,2,125,15.4,1.5,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,60,846,6,0.7,18,2.1,76,9,15,1.6,446,52.7,49,5.8,73,8.6,65,7.7,62,7.3,59,7,77,9.1,68,8,53,6.3,66,7.8,65,7.7,68,8,55,6.5,2,0.2,59,7,57,6.7,27,3.2,82,9.7,6,0.7,18,2.1,400,47.3,0,0,356,42.1,-3,-3,12,16,75,46,61.3,-1,-1,75,8.9,8,10.7,28,3.3,229,27.1,648,76.6,22,44,4,8,29,58
'001906,0,0,0,0,0,0,1,2.9,2,5.7,24,68.599999999999994,6,17.100000000000001,2,5.7,35,100,0,0,4,11.4,13,37.1,2,5.7,0,0,1,2.9,58,15.3,0,0,0,3.8,0,7.7,4.2,0,4.2,0,0,0,0,0,0,0,0,.,377,1,0.3,6,1.6,28,7.4,4,0.9,172,45.6,22,5.8,28,7.4,21,5.6,29,7.7,31,8.2,33,8.8,31,8.2,24,6.4,39,10.3,26,6.9,24,6.4,19,5,0,0,24,6.4,34,9,16,4.2,51,13.5,1,0.3,6,1.6,205,54.4,0,0,137,36.3,-1,-1,-1,-1,37,30,81.1,-1,-1,37,9.8,-1,-1,10,2.7,118,31.3,286,75.9,7,20,5,14.3,29,82.9
'001907,4,2.2000000000000002,1,0.6,0,0,0,0,0,0,161,90.4,17,9.6,0,0,178,100,1,0.1,47,26.4,94,52.8,74,41.6,0,0,2,1.1000000000000001,457,14.2,4.5,1.3,1.2,0,0,0,0.5,0,3.5,14.3,0,3.4,0,0,0,0,0,21.4,3453,28,0.8,516,14.9,949,27.5,126,3.4,2587,74.9,248,7.2,266,7.7,251,7.3,269,7.8,252,7.3,239,6.9,252,7.3,241,7,274,7.9,250,7.2,230,6.7,218,6.3,4,0.1,93,2.7,268,7.8,191,5.5,1382,40,10,0.3,557,16.1,866,25.1,4,0.1,1980,57.3,39,12.9,64,21.1,303,139,45.9,5,1.7,303,8.8,56,18.5,106,3.1,1222,35.4,974,28.2,84,47.2,19,10.7,52,29.2
'001908,1,1,0,0,0,0,7,6.8,3,2.9,82,79.599999999999994,11,10.7,0,0,103,100,2,0.3,20,19.399999999999999,44,42.7,23,22.3,0,0,1,1,264,16.8,5.6,1.6,2.2999999999999998,1,1.9,1,1,1,3.6,8.3000000000000007,8.3000000000000007,0,0,0,0,0,0,16.7,1600,10,0.6,85,5.3,280,17.5,21,1.2,1036,64.8,133,8.3,135,8.4,135,8.4,103,6.4,121,7.6,112,7,116,7.3,115,7.2,122,7.6,104,6.5,119,7.4,92,5.8,4,0.3,36,2.3,129,8.1,60,3.8,404,25.3,10,0.6,91,5.7,564,35.3,0,0,811,50.7,-3,-3,22,13,169,104,61.5,-1,-1,169,10.6,28,16.6,63,3.9,414,25.9,833,52.1,32,31.1,7,6.8,59,57.3
'001909,0,0,0,0,0,0,0,0,3,12,20,80,2,8,0,0,25,100,0,0,1,4,9,36,2,8,0,0,0,0,49,12.8,12.9,5.3,3.4,0,3.7,0,0,0,0,20,0,0,0,0,0,0,0,0,411,1,0.2,4,1,5,1.2,2,0.5,202,49.1,33,8,31,7.5,21,5.1,37,9,30,7.3,32,7.8,29,7.1,34,8.3,31,7.5,27,6.6,28,6.8,22,5.4,0,0,18,4.4,29,7.1,27,6.6,23,5.6,1,0.2,4,1,209,50.9,0,0,157,38.2,-1,-1,-3,-3,52,28,53.8,0,0,52,12.7,11,21.2,13,3.2,154,37.5,368,89.5,7,28,2,8,22,88
'002901,9,3.6,1,0.4,0,0,190,75.400000000000006,3,1.2,0,0,30,11.9,29,11.5,252,100,3,0.2,4,1.6,52,20.6,164,65.099999999999994,0,0,9,3.6,557,14.5,0.3,0.8,0,0.4,0.4,0,0,1.2,1.8,0,4.8,0,0,2.9,0,0,0,9.1,3954,14,0.4,483,12.2,42,1.1,52,1.2,1674,42.3,292,7.4,317,8,292,7.4,359,9.1,293,7.4,310,7.8,311,7.9,302,7.6,286,7.2,287,7.3,238,6,218,5.5,13,0.3,179,4.5,307,7.8,129,3.3,2640,66.8,20,0.5,447,11.3,2280,57.7,3,0.1,1521,38.5,20,7.2,46,16.5,279,179,64.2,5,1.8,279,7.1,29,10.4,65,1.6,873,22.1,1170,29.6,60,23.8,11,4.4000000000000004,74,29.4
'003801,0,0,1,2.4,0,0,3,7.1,6,14.3,29,69,4,9.5,0,0,42,100,4,1.2,9,21.4,14,33.299999999999997,5,11.9,0,0,0,0,79,8.9,2.6,0,0,0,0,1.3,0,0,2.7,14.3,0,11.1,0,0,0,0,0,20,1037,18,1.7,58,5.6,168,16.2,0,0,470,45.3,87,8.4,89,8.6,88,8.5,88,8.5,88,8.5,91,8.8,85,8.2,70,6.8,75,7.2,62,6,51,4.9,39,3.8,0,0,106,10.2,86,8.3,38,3.7,243,23.4,0,0,58,5.6,567,54.7,1,0.1,322,31.1,-1,-1,-3,-3,69,41,59.4,0,0,69,6.7,18,26.1,24,2.3,130,12.5,583,56.2,4,9.5,5,11.9,27,64.3
'003902,6,3.3,0,0,0,0,28,15.2,0,0,116,63,31,16.8,9,4.9000000000000004,184,100,0,0,13,7.1,72,39.1,38,20.7,0,0,0,0,360,13.2,6,5.6,5.3,3.3,1.5,2.2000000000000002,2.6,0,3.7,31.3,7.1,8.3000000000000007,17.600000000000001,0,4.2,6.7,0,22.2,2842,30,1.1,190,6.7,171,6,37,1.2,1497,52.7,202,7.1,218,7.7,204,7.2,239,8.4,208,7.3,227,8,219,7.7,200,7,213,7.5,211,7.4,203,7.1,192,6.8,5,0.2,162,5.7,200,7,101,3.6,692,24.3,20,0.7,197,6.9,1345,47.3,0,0,1001,35.2,29,13.7,23,10.8,212,116,54.7,5,2.4,212,7.5,39,18.4,62,2.2,892,31.4,1867,65.7,46,25,8,4.3,127,69
