DISTRICT,DAUND20C,DAUND20R,DISTNAME,DPCTENGA,DPCTFLAA,DPCTG01A,DPCTG02A,DPCTG03A,DPCTG04A,DPCTG05A,DPCTG06A,DPCTGKGA,DPCTGMEA,DPCTMATA,DPCTSCIA,DPCTSOCA,DPEMALLC,DPEMALLP,DPEMASIC,DPEMASIP,DPEMBLAC,DPEMBLAP,DPEMECOC,DPEMECOP,DPEMECOT,DPEMHISC,DPEMHISP,DPEMINDC,DPEMINDP,DPEMLEPC,DPEMLEPP,DPEMLEPT,DPEMPCIC,DPEMPCIP,DPEMSPEC,DPEMSPEP,DPEMSPET,DPEMTWOC,DPEMTWOP,DPEMWHIC,DPEMWHIP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRA9R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSA9R,DPERSAKR,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSAUC,DPETSAUP,DPETSBHC,DPETSBHP,DPETSIMC,DPETSINC,DPETSINP,DPETSNOC,DPETSNOP,DPETSPEC,DPETSPEP,DPETSPHC,DPETSPHP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DPNT504C,DPNT504P,DPNTALLC,DPNTASIC,DPNTASIP,DPNTBILC,DPNTBILP,DPNTBLAC,DPNTBLAP,DPNTDSLC,DPNTDSLP,DPNTECOC,DPNTECOP,DPNTFEMC,DPNTFEMP,DPNTFOSC,DPNTFOSP,DPNTG01C,DPNTG01P,DPNTG02C,DPNTG02P,DPNTG03C,DPNTG03P,DPNTG04C,DPNTG04P,DPNTG05C,DPNTG05P,DPNTG06C,DPNTG06P,DPNTG07C,DPNTG07P,DPNTG08C,DPNTG08P,DPNTG09C,DPNTG09P,DPNTG10C,DPNTG10P,DPNTG11C,DPNTG11P,DPNTG12C,DPNTG12P,DPNTGEEC,DPNTGEEP,DPNTGIFC,DPNTGIFP,DPNTGKNC,DPNTGKNP,DPNTGPKC,DPNTGPKP,DPNTHISC,DPNTHISP,DPNTHOMC,DPNTHOMP,DPNTIMMC,DPNTIMMP,DPNTINDC,DPNTINDP,DPNTLEPC,DPNTLEPP,DPNTMALC,DPNTMALP,DPNTMIGC,DPNTMIGP,DPNTMLCC,DPNTMLCP,DPNTNEDC,DPNTNEDP,DPNTPCIC,DPNTPCIP,DPNTRSKC,DPNTRSKP,DPNTSPEC,DPNTSPEP,DPNTTT1C,DPNTTT1P,DPNTTWOC,DPNTTWOP,DPNTWHIC,DPNTWHIP
'001902,0,0,CAYUGA ISD,8.4,9.3,14.6,17,11.9,17.1,15.8,16.2,14,.,11.7,12.3,12.2,64,11.6,1,0.2,0,0,36,15.5,232,11,2,0,0,3,75,4,0,0,12,12.5,96,3,0.5,49,8.9,7.1,0,0,2.7,2.4,0,0,0,0,7.1,33.3,0,0,0,0,0,0,0,12.5,25,48,9,535,3,0.6,70,428,16.4,2,0.4,22,4.1,4,0.7,35,6.5,202,37.8,248,46.4,0,0,30,5.6,35,6.5,26,4.9,53,9.9,48,9,50,9.3,47,8.8,36,6.7,44,8.2,38,7.1,46,8.6,38,7.1,2,0.4,35,6.5,42,7.9,0,0,52,9.7,1,0.2,0,0,0,0,2,0.4,287,53.6,1,0.2,9,1.7,333,62.2,0,0,187,35,-1,-1,7,9,78,59,75.6,-1,-1,78,14.6,10,12.8,535,100,27,5,431,80.6,48,9,535,3,0.6,2,0.4,22,4.1,35,6.5,202,37.8,248,46.4,0,0,30,5.6,35,6.5,26,4.9,53,9.9,48,9,50,9.3,47,8.8,36,6.7,44,8.2,38,7.1,46,8.6,38,7.1,2,0.4,35,6.5,42,7.9,0,0,52,9.7,1,0.2,0,0,0,0,2,0.4,287,53.6,1,0.2,9,1.7,333,62.2,0,0,187,35,78,14.6,535,100,27,5,431,80.6
'001903,2,0.3,ELKHART ISD,9.5,13.9,17.2,16.6,19.3,15.7,16.9,16.8,16,.,10.9,13.1,9.7,168,14.1,1,0.1,15,1.3,89,14.8,603,14,1.2,4,0.3,2,10.5,19,0,0,28,19.7,142,10,0.8,124,10.4,4.4,2.3,0,0,0,1.2,0,0,1.3,9.6,7.1,0,16.7,0,0,0,0,0,0,5.6,69,5.8,1200,2,0.2,142,873,16.3,23,1.9,53,4.4,7,0.5,66,5.5,571,47.6,563,46.9,4,0.3,91,7.6,86,7.2,98,8.2,82,6.8,86,7.2,100,8.3,90,7.5,78,6.5,92,7.7,78,6.5,84,7,90,7.5,1,0.1,50,4.2,82,6.8,62,5.2,137,11.4,16,1.3,0,0,4,0.3,24,2,637,53.1,0,0,5,0.4,629,52.4,1,0.1,275,22.9,-3,-3,22,15,147,68,46.3,-1,-1,147,12.3,41,27.9,1200,100,52,4.3,951,79.3,69,5.8,1200,2,0.2,23,1.9,53,4.4,66,5.5,571,47.6,563,46.9,4,0.3,91,7.6,86,7.2,98,8.2,82,6.8,86,7.2,100,8.3,90,7.5,78,6.5,92,7.7,78,6.5,84,7,90,7.5,1,0.1,50,4.2,82,6.8,62,5.2,137,11.4,16,1.3,0,0,4,0.3,24,2,637,53.1,0,0,5,0.4,629,52.4,1,0.1,275,22.9,147,12.3,1200,100,52,4.3,951,79.3
'001904,3,0.8,FRANKSTON ISD,12.8,12.3,16.5,17.9,15.2,12.9,14.4,12.7,18,.,13.6,14.7,15.7,105,13.8,2,0.3,12,1.6,67,16.4,409,7,0.9,0,0,0,0,19,0,0,9,8.7,104,4,0.5,80,10.5,0,0,2.6,0,1.5,0,2,0,3.3,6.6,0,0,0,0,9.1,0,0,0,0,16.7,71,9.2,768,9,1.2,106,597,17.8,24,3.1,79,10.3,4,0.5,49,6.4,427,55.6,362,47.1,3,0.4,68,8.9,57,7.4,45,5.9,54,7,56,7.3,71,9.2,66,8.6,63,8.2,62,8.1,70,9.1,47,6.1,44,5.7,0,0,62,8.1,37,4.8,28,3.6,62,8.1,11,1.4,0,0,3,0.4,24,3.1,406,52.9,0,0,19,2.5,341,44.4,0,0,274,35.7,8,8.2,25,25.5,98,51,52,0,0,98,12.8,14,14.3,768,100,30,3.9,585,76.2,71,9.2,769,9,1.2,24,3.1,79,10.3,49,6.4,428,55.7,362,47.1,3,0.4,68,8.8,57,7.4,45,5.9,54,7,56,7.3,71,9.2,66,8.6,63,8.2,62,8.1,70,9.1,47,6.1,44,5.7,1,0.1,62,8.1,37,4.8,28,3.6,62,8.1,11,1.4,0,0,3,0.4,24,3.1,407,52.9,0,0,19,2.5,341,44.3,0,0,274,35.6,99,12.9,769,100,30,3.9,586,76.2
'001906,0,0,NECHES ISD,7,9.6,9.8,10,12.8,11.7,12.5,12.5,19,11.6,10.9,10.7,6,54,16,2,0.6,2,0.6,20,13.6,147,8,2.4,1,0.3,0,0,7,0,0,8,24.2,33,4,1.2,37,10.9,0,0,0,0,0,0,0,0,0,0,66.7,.,0,0,0,0,0,0,0,0,25,7.4,338,1,0.3,48,295,16.3,7,2.1,24,7.1,0,0,6,1.8,168,49.7,175,51.8,3,0.9,22,6.5,20,5.9,26,7.7,24,7.1,25,7.4,25,7.4,23,6.8,27,8,22,6.5,26,7.7,24,7.1,23,6.8,0,0,17,5,38,11.2,13,3.8,45,13.3,0,0,0,0,1,0.3,7,2.1,163,48.2,0,0,45,13.3,170,50.3,0,0,94,27.8,-1,-1,-1,-1,31,20,64.5,0,0,31,9.2,5,16.1,338,100,14,4.1,253,74.9,25,7.4,339,1,0.3,7,2.1,24,7.1,6,1.8,168,49.6,176,51.9,3,0.9,22,6.5,20,5.9,26,7.7,24,7.1,25,7.4,25,7.4,23,6.8,27,8,22,6.5,26,7.7,24,7.1,23,6.8,0,0,17,5,39,11.5,13,3.8,45,13.3,0,0,0,0,1,0.3,7,2.1,163,48.1,0,0,45,13.3,171,50.4,0,0,94,27.7,32,9.4,339,100,14,4.1,254,74.9
'001907,0,0,PALESTINE ISD,17.3,19.2,19.9,18,18.2,19.3,18.5,19.5,19.4,.,18.2,18.8,15.8,369,11.7,5,0.2,96,3,294,13.5,2183,75,2.4,3,0.1,24,4.4,542,0,0,72,16.3,442,32,1,158,5,1.3,0,0,0,0,0,0,0,5.4,1.3,6.7,8.3,0,0,0,0,0,0,14.6,3.3,200,5.9,3398,26,0.8,195,2017,9.7,545,16,882,26,95,2.6,111,3.3,2724,80.2,1594,46.9,6,0.2,259,7.6,236,6.9,203,6,237,7,227,6.7,261,7.7,242,7.1,267,7.9,273,8,262,7.7,272,8,207,6.1,3,0.1,85,2.5,232,6.8,217,6.4,1444,42.5,10,0.3,58,1.7,9,0.3,534,15.7,1804,53.1,0,0,6,0.2,674,19.8,2,0.1,1948,57.3,61,13.9,83,18.9,439,203,46.2,14,3.2,439,12.9,78,17.8,3398,100,141,4.1,894,26.3,200,5.9,3400,26,0.8,545,16,883,26,111,3.3,2726,80.2,1594,46.9,6,0.2,259,7.6,236,6.9,203,6,237,7,227,6.7,261,7.7,242,7.1,267,7.9,273,8,262,7.7,272,8,209,6.1,3,0.1,85,2.5,232,6.8,217,6.4,1445,42.5,10,0.3,58,1.7,9,0.3,534,15.7,1806,53.1,0,0,6,0.2,674,19.8,2,0.1,1950,57.4,439,12.9,3400,100,141,4.1,894,26.3
'001908,0,0,WESTWOOD ISD,14.4,20.3,15.4,15.7,14.4,15.4,15.2,18.2,16,.,14.5,14.3,16.1,192,13.4,4,0.3,32,2.2,142,15.2,937,49,3.4,1,0.1,8,9.2,87,0,0,25,11.5,217,8,0.6,98,6.9,10.8,2.3,0,0,0,0,0,0,4.7,1.1,0,0,0,0,0,0,0,0,0,7.1,86,6.4,1352,6,0.4,214,1085,19.7,82,6.1,268,19.8,8,0.5,59,4.4,928,68.6,654,48.4,19,1.4,97,7.2,99,7.3,91,6.7,94,7,94,7,94,7,107,7.9,92,6.8,115,8.5,119,8.8,112,8.3,88,6.5,0,0,39,2.9,82,6.1,68,5,333,24.6,0,0,5,0.4,10,0.7,90,6.7,698,51.6,3,0.2,1,0.1,424,31.4,0,0,748,55.3,-3,-3,28,14.5,193,118,61.1,-1,-1,193,14.3,26,13.5,719,53.2,60,4.4,675,49.9,86,6.4,1352,6,0.4,82,6.1,268,19.8,59,4.4,928,68.6,654,48.4,19,1.4,97,7.2,99,7.3,91,6.7,94,7,94,7,94,7,107,7.9,92,6.8,115,8.5,119,8.8,112,8.3,88,6.5,0,0,39,2.9,82,6.1,68,5,333,24.6,0,0,5,0.4,10,0.7,90,6.7,698,51.6,3,0.2,1,0.1,424,31.4,0,0,748,55.3,193,14.3,719,53.2,60,4.4,675,49.9
'001909,1,0.5,SLOCUM ISD,13.1,13,13.4,14.2,16.8,8.2,9.1,13.4,21,.,12.1,12.4,12.5,32,8.8,0,0,0,0,18,12.9,139,9,2.5,0,0,0,0,1,0,0,10,17.9,56,0,0,23,6.4,0,0,0,0,0,13,0,0,0,15.4,0,0,0,0,0,0,0,0,33.3,0,22,6,366,2,0.5,60,335,17.9,1,0.3,3,0.8,0,0,25,6.8,152,41.5,190,51.9,2,0.5,14,3.8,29,7.9,34,9.3,21,5.7,23,6.3,28,7.7,24,6.6,30,8.2,30,8.2,32,8.7,30,8.2,30,8.2,0,0,12,3.3,21,5.7,20,5.5,31,8.5,10,2.7,0,0,0,0,1,0.3,176,48.1,0,0,9,2.5,214,58.5,0,0,112,30.6,-1,-1,-1,-1,51,37,72.5,0,0,51,13.9,8,15.7,366,100,15,4.1,315,86.1,22,6,366,2,0.5,1,0.3,3,0.8,25,6.8,152,41.5,190,51.9,2,0.5,14,3.8,29,7.9,34,9.3,21,5.7,23,6.3,28,7.7,24,6.6,30,8.2,30,8.2,32,8.7,30,8.2,30,8.2,0,0,12,3.3,21,5.7,20,5.5,31,8.5,10,2.7,0,0,0,0,1,0.3,176,48.1,0,0,9,2.5,214,58.5,0,0,112,30.6,51,13.9,366,100,15,4.1,315,86.1
'002901,1,0.1,ANDREWS ISD,14.6,19.8,15.4,18.3,18.5,19.1,19.1,16.9,16.2,.,16.3,14.8,16.8,487,11.6,10,0.2,6,0.1,313,15.3,2040,282,6.7,2,0,64,12.7,502,0,0,50,12,418,9,0.2,178,4.3,3.8,1.1,0.8,0.8,0.7,0,0.3,0,9.7,0.8,0,0,7.4,0,0,0,0,2.6,7.3,0,294,7.1,4121,11,0.3,398,2792,14.3,574,13.9,33,0.8,98,2.1,242,5.9,1920,46.6,2009,48.8,7,0.2,294,7.1,332,8.1,317,7.7,292,7.1,284,6.9,330,8,318,7.7,343,8.3,322,7.8,315,7.6,295,7.2,271,6.6,2,0,264,6.4,324,7.9,82,2,2846,69.1,64,1.6,2,0,15,0.4,528,12.8,2112,51.2,2,0,60,1.5,2201,53.4,0,0,1735,42.1,-3,-3,78,20.2,387,213,55,-1,-1,387,9.4,60,15.5,4064,98.6,70,1.7,1146,27.8,294,7.1,4128,11,0.3,574,13.9,33,0.8,242,5.9,1923,46.6,2011,48.7,7,0.2,294,7.1,332,8,317,7.7,292,7.1,284,6.9,330,8,318,7.7,343,8.3,322,7.8,315,7.6,295,7.1,271,6.6,9,0.2,264,6.4,324,7.8,82,2,2850,69,64,1.6,2,0,15,0.4,528,12.8,2117,51.3,2,0,60,1.5,2205,53.4,0,0,1735,42,394,9.5,4071,98.6,70,1.7,1149,27.8
'003801,3,0.7,PINEYWOODS COMMUNITY ACADEMY,15.3,13.3,20.5,18.5,21.1,21,18.7,19.2,18,.,15.2,18.3,21,67,7.5,2,0.2,11,1.2,28,5.8,484,15,1.7,1,0.1,1,2.4,41,1,0.1,10,9.1,110,3,0.3,34,3.8,3.1,2.7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,50,66,6.6,996,11,1.1,93,811,11.5,49,4.9,148,14.9,0,0,44,4.4,506,50.8,509,51.1,4,0.4,82,8.2,74,7.4,84,8.4,84,8.4,75,7.5,80,8,80,8,76,7.6,69,6.9,76,7.6,63,6.3,53,5.3,0,0,93,9.3,72,7.2,28,2.8,298,29.9,5,0.5,0,0,2,0.2,49,4.9,487,48.9,0,0,11,1.1,490,49.2,1,0.1,415,41.7,11,10.6,8,7.7,104,68,65.4,0,0,104,10.4,17,16.3,996,100,35,3.5,501,50.3,66,6.6,996,11,1.1,49,4.9,148,14.9,44,4.4,506,50.8,509,51.1,4,0.4,82,8.2,74,7.4,84,8.4,84,8.4,75,7.5,80,8,80,8,76,7.6,69,6.9,76,7.6,63,6.3,53,5.3,0,0,93,9.3,72,7.2,28,2.8,298,29.9,5,0.5,0,0,2,0.2,49,4.9,487,48.9,0,0,11,1.1,490,49.2,1,0.1,415,41.7,104,10.4,996,100,35,3.5,501,50.3
'003902,1,0.1,HUDSON ISD,15.9,19.7,18,18.5,20.3,18.7,16.9,20,17.3,.,18.4,18.3,19.7,267,9.6,3,0.1,73,2.6,221,14.7,1506,52,1.9,7,0.3,14,8.4,166,0,0,46,15.3,300,5,0.2,127,4.6,4.1,3.1,1.6,2.3,0,1.5,0.5,0,0.5,7.3,0,11.1,4,4.8,0,0,0,0,0,11.1,241,8.7,2769,30,1.1,284,2071,13.7,157,5.7,206,7.4,38,1.2,184,6.6,1448,52.3,1405,50.7,10,0.4,196,7.1,224,8.1,214,7.7,212,7.7,193,7,220,7.9,219,7.9,225,8.1,215,7.8,213,7.7,197,7.1,188,6.8,3,0.1,157,5.7,191,6.9,59,2.1,761,27.5,3,0.1,11,0.4,10,0.4,185,6.7,1364,49.3,0,0,88,3.2,1321,47.7,1,0,1013,36.6,-3,-3,45,15.2,296,160,54.1,-1,-1,296,10.7,59,19.9,2760,99.7,71,2.6,1690,61,241,8.7,2773,30,1.1,157,5.7,206,7.4,184,6.6,1449,52.3,1406,50.7,10,0.4,196,7.1,224,8.1,214,7.7,212,7.6,193,7,220,7.9,219,7.9,225,8.1,215,7.8,213,7.7,197,7.1,188,6.8,7,0.3,157,5.7,191,6.9,59,2.1,761,27.4,3,0.1,11,0.4,10,0.4,185,6.7,1367,49.3,0,0,88,3.2,1324,47.7,1,0,1013,36.5,300,10.8,2764,99.7,71,2.6,1694,61.1
